Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2022,"Benin ",149,0.42640,0.34090,0.52450,0.43910,0.31560
2022,"Bhutan ",115,0.55210,0.46590,0.59960,0.53050,0.52610
2022,"Bolivia ",98,0.61650,0.31820,0.51930,0.74830,0.58180
2022,"Bosnia and Herzegovina ",96,0.62560,0.53410,0.48980,0.74890,0.63820
2022,"Botswana ",118,0.54950,0.17050,0.27400,0.69320,0.68140
2022,"Djibouti ",181,0.28330,0.11360,0.22080,0.35290,0.27600
2022,"Brazil ",49,0.79100,0.89770,0.89640,0.79530,0.68140
2022,"Brunei Darussalam ",68,0.72700,0.47730,0.58710,0.75670,0.83720
2022,"Bulgaria ",52,0.77660,0.73860,0.70920,0.82210,0.79840
2022,"Burkina Faso ",166,0.34760,0.22730,0.37300,0.27680,0.39310
2022,"Burundi ",171,0.32040,0.34090,0.33760,0.48370,0.14000
2022,"Cambodia ",127,0.50560,0.28410,0.41810,0.53800,0.56050
2022,"Cameroon ",141,0.44980,0.28410,0.39160,0.59280,0.36500
2022,"Canada ",32,0.85110,0.82950,0.85040,0.92600,0.77700
2022,"Cabo Verde ",110,0.56600,0.25000,0.49650,0.65070,0.55070
2022,"Central African Republic ",191,0.14070,0.13640,0.09620,0.24250,0.08330
2022,"Colombia ",70,0.72610,0.71590,0.74180,0.78670,0.64980
2022,"Comoros ",182,0.27780,0.01140,0.03260,0.47100,0.33000
2022,"Congo ",161,0.36750,0.23860,0.31770,0.56770,0.21700
2022,"Costa Rica ",56,0.76590,0.55680,0.68120,0.85930,0.75720
2022,"Côte d'Ivoire ",120,0.54670,0.37500,0.54670,0.57480,0.51860
2022,"Croatia ",44,0.81060,0.73860,0.81080,0.85000,0.77110
2022,"Cuba ",136,0.49450,0.13640,0.27890,0.83840,0.36630
2022,"Cyprus ",27,0.86600,0.75000,0.77920,0.89340,0.92530
2022,"Czech Republic ",45,0.80880,0.60230,0.66930,0.91140,0.84560
2022,"Democratic People's Republic of Korea ",180,0.28590,0.05680,0.15790,0.64900,0.05080
2022,"Democratic Republic of the Congo ",175,0.30570,0.25000,0.23410,0.53550,0.14770
2022,"Denmark ",1,0.97170,0.88640,0.97970,0.95590,0.97950
2022,"Ethiopia ",179,0.28650,0.19320,0.37300,0.33640,0.15010
2022,"Fiji ",97,0.62350,0.23860,0.48130,0.79570,0.59350
2022,"Finland ",2,0.95330,0.95450,0.98330,0.96400,0.91270
2022,"Guinea-Bissau ",186,0.25600,0.07950,0.06240,0.35850,0.34720
2022,"Guyana ",123,0.52330,0.21590,0.45090,0.65460,0.46430
2022,"Spain ",18,0.88420,0.75000,0.85590,0.90720,0.88950
2022,"Sierra Leone ",185,0.26330,0.20450,0.28010,0.24590,0.26390
2022,France,19,0.88320,0.71590,0.87680,0.87840,0.89440
2022,"Gabon ",115,0.55210,0.20450,0.35780,0.67060,0.62790
2022,"Gambia ",174,0.30880,0.23860,0.14550,0.33010,0.45080
2022,Georgia (Country),60,0.75010,0.53410,0.61110,0.89840,0.74090
2022,"Germany ",22,0.87700,0.72730,0.79050,0.94460,0.89570
2022,"Ghana ",106,0.58240,0.45450,0.53610,0.61760,0.59340
2022,"Greece ",33,0.84550,0.61360,0.77530,0.94050,0.82060
2022,"Grenada ",66,0.72770,0.20450,0.55070,0.89770,0.73480
2022,"Guatemala ",126,0.51110,0.32950,0.54090,0.55960,0.43280
2022,"Guinea ",162,0.36080,0.28410,0.44210,0.29550,0.34480
2022,"Haiti ",187,0.24810,0.10230,0.08650,0.39300,0.26460
2022,"Honduras ",155,0.39400,0.10230,0.24170,0.59010,0.35010
2022,"Hungary ",51,0.78270,0.51140,0.74650,0.83450,0.76710
2022,"Iceland ",5,0.94100,0.79550,0.88670,0.96570,0.97050
2022,"India ",105,0.58830,0.59090,0.79340,0.57610,0.39540
2022,"Indonesia ",77,0.71600,0.71590,0.76440,0.74380,0.63970
2022,"Iran (Islamic Republic of) ",91,0.64330,0.18180,0.41960,0.78040,0.73000
2022,"Slovenia ",21,0.87810,0.75000,0.86660,0.94390,0.82390
2022,"Solomon Islands ",165,0.35300,0.21590,0.36760,0.49250,0.19880
2022,"Somalia ",192,0.13400,0.25000,0.29440,0.00000,0.10740
2022,"South Africa ",65,0.73570,0.59090,0.74870,0.77330,0.68500
2022,"Sri Lanka ",95,0.62850,0.35230,0.56440,0.77260,0.54830
2022,"Sudan ",176,0.29720,0.04550,0.21180,0.35990,0.31990
2022,"Suriname ",108,0.58090,0.20450,0.34180,0.69210,0.70890
2022,Eswatini,141,0.44980,0.14770,0.32400,0.67030,0.35500
2022,"Uzbekistan ",69,0.72650,0.61360,0.74400,0.77780,0.65750
2022,"Vanuatu ",135,0.49880,0.34090,0.42280,0.60090,0.47270
2022,"Venezuela ",128,0.50530,0.12500,0.30560,0.81810,0.39230
2022,"Viet Nam ",86,0.67870,0.53410,0.64840,0.69030,0.69730
2022,"Sweden ",5,0.94100,0.72730,0.90020,0.96490,0.95800
2022,"Switzerland ",23,0.87520,0.70450,0.76770,0.91280,0.94500
2022,"Syrian Arab Republic ",156,0.38720,0.06820,0.30530,0.49830,0.35810
2022,"Tajikistan ",129,0.50390,0.25000,0.39680,0.73800,0.37700
2022,"Thailand ",55,0.76600,0.78410,0.77630,0.78790,0.73380
2022,North Macedonia,80,0.70000,0.69320,0.70200,0.75620,0.64170
2022,Timor-Leste,147,0.43720,0.47730,0.39310,0.55460,0.36400
2022,"Togo ",151,0.42310,0.38640,0.43380,0.55080,0.28480
2022,"Tonga ",124,0.51550,0.26140,0.32960,0.86750,0.34960
2022,"Trinidad and Tobago ",93,0.63390,0.23860,0.48920,0.74090,0.67170
2022,"Tunisia ",88,0.65300,0.54550,0.60310,0.69110,0.66460
2022,Türkiye,48,0.79830,0.78410,0.86000,0.87220,0.66260
2022,"Turkmenistan ",137,0.48080,0.10230,0.29800,0.78920,0.35510
2022,"Tuvalu ",158,0.37880,0.17050,0.22650,0.64920,0.26070
2022,"Uganda ",144,0.44240,0.40910,0.51690,0.56310,0.24720
2022,Ukraine,46,0.80290,0.60230,0.81480,0.86690,0.72700
2022,"United Arab Emirates ",13,0.90100,0.78410,0.90140,0.87110,0.93060
2022,United Kingdom of Great Britain and Northern Ireland,11,0.91380,0.95450,0.88590,0.93690,0.91860
2022,"United Republic of Tanzania ",153,0.41690,0.27270,0.47000,0.51000,0.27090
2022,"United States of America ",10,0.91510,0.90910,0.93040,0.92760,0.88740
2022,"Uruguay ",35,0.83880,0.59090,0.76410,0.89800,0.85430
2022,"Yemen ",178,0.28990,0.19320,0.33930,0.36330,0.16710
2022,"Zambia ",131,0.50220,0.37500,0.44140,0.67440,0.39090
2022,"Zimbabwe ",138,0.47170,0.22730,0.38450,0.64630,0.38430
2022,South Sudan,193,0.08520,0.00000,0.05180,0.20380,0.00000
2022,"Rwanda ",119,0.54890,0.63640,0.79350,0.53220,0.32090
2022,"Saint Kitts and Nevis ",87,0.67750,0.20450,0.33070,0.87240,0.82930
2022,"Saint Lucia ",114,0.55800,0.40910,0.40070,0.70490,0.56830
2022,"Saint Vincent and the Grenadines ",107,0.58110,0.38640,0.45260,0.74200,0.54860
2022,"Samoa ",152,0.42070,0.27270,0.35920,0.74700,0.15580
2022,"San Marino ",90,0.64540,0.17050,0.37880,0.74660,0.81100
2022,"Sao Tome and Principe ",154,0.41380,0.04550,0.24350,0.67590,0.32180
2022,"Saudi Arabia ",31,0.85390,0.69320,0.82200,0.86620,0.87350
2022,"Senegal ",143,0.44790,0.34090,0.49340,0.34780,0.50250
2022,Serbia,40,0.82370,0.80680,0.85140,0.83320,0.78650
2022,"Seychelles ",85,0.67930,0.22730,0.44240,0.77580,0.81980
2022,"Singapore ",12,0.91330,0.97730,0.96200,0.90210,0.87580
2022,"Slovakia ",47,0.80080,0.46590,0.72600,0.84360,0.83280
